Label,Processed_Text
ham,"  (0, 8026)	0.19609779550499865
  (0, 1051)	0.3509649021061901
  (0, 3494)	0.16470488207184114
  (0, 1994)	0.2964965675440533
  (0, 1701)	0.33503393550839805
  (0, 4349)	0.2964965675440533
  (0, 8227)	0.23740046706740073
  (0, 3534)	0.19387320529717864
  (0, 1703)	0.2964965675440533
  (0, 1271)	0.2625103008882829
  (0, 2271)	0.27179815735762314
  (0, 5741)	0.2745089285415426
  (0, 4224)	0.3509649021061901"
ham,"  (0, 5369)	0.5465881710238072
  (0, 8134)	0.4316010362639011
  (0, 4192)	0.5236458071582338
  (0, 4385)	0.4082988561907181
  (0, 5343)	0.27211951321382544"
spam,"  (0, 77)	0.23759715224911548
  (0, 1128)	0.1707825659976717
  (0, 6062)	0.1707825659976717
  (0, 7701)	0.12576907263059747
  (0, 7028)	0.1989696587085652
  (0, 6010)	0.1808417865094903
  (0, 6115)	0.16914304332607796
  (0, 784)	0.22336358538498402
  (0, 7388)	0.12429791208263606
  (0, 402)	0.22958122308787565
  (0, 411)	0.22958122308787565
  (0, 7519)	0.22336358538498402
  (0, 3121)	0.18616532033529198
  (0, 2329)	0.20698558786980506
  (0, 3005)	0.47519430449823097
  (0, 8146)	0.14982929655580282
  (0, 2110)	0.19673936097358055
  (0, 8185)	0.1927520210056736
  (0, 2875)	0.364160767213414
  (0, 3265)	0.11668290849577324"
ham,"  (0, 3815)	0.5410200249669143
  (0, 2757)	0.3908324106090213
  (0, 6450)	0.6518642650180976
  (0, 2738)	0.36002824805111666"
ham,"  (0, 4535)	0.5044901821829904
  (0, 7837)	0.4493939296226912
  (0, 3458)	0.4007344360947563
  (0, 7443)	0.29944698410462967
  (0, 2651)	0.2938904272854692
  (0, 5092)	0.454869854230496"
spam,"  (0, 6074)	0.3425829198321018
  (0, 607)	0.22290193916140236
  (0, 6536)	0.1748731802026937
  (0, 1948)	0.358872842954479
  (0, 8292)	0.2450459645349998
  (0, 7323)	0.32206004382209374
  (0, 3323)	0.24875714523440426
  (0, 4485)	0.16841601232170994
  (0, 8218)	0.23953378684803
  (0, 8071)	0.19751106525837203
  (0, 2386)	0.31473511231915086
  (0, 3732)	0.19715074092563029
  (0, 3272)	0.2779223131867655
  (0, 7028)	0.28688730480619984
  (0, 5343)	0.16033794179324498"
ham,"  (0, 5546)	0.4730769050771137
  (0, 985)	0.4730769050771137
  (0, 7634)	0.35973672466389295
  (0, 6910)	0.323026912678813
  (0, 1674)	0.3485455702931944
  (0, 4485)	0.4440220397768562"
ham,"  (0, 3288)	0.1721485030884613
  (0, 2211)	0.2229129744677348
  (0, 5862)	0.21267086535399873
  (0, 1771)	0.2384623458787065
  (0, 1772)	0.476924691757413
  (0, 6562)	0.200328634919897
  (0, 7892)	0.2508045763128082
  (0, 5282)	0.2508045763128082
  (0, 4898)	0.2508045763128082
  (0, 5426)	0.24401215675529334
  (0, 4833)	0.5016091526256165
  (0, 6224)	0.22612011544460472"
spam,"  (0, 3835)	0.22777986315354634
  (0, 322)	0.24611802672974828
  (0, 7858)	0.22332394214730372
  (0, 4312)	0.29723051848283955
  (0, 2065)	0.21471907634531934
  (0, 224)	0.29723051848283955
  (0, 2000)	0.34399520301110487
  (0, 6279)	0.25526332598548823
  (0, 5894)	0.1806664843310798
  (0, 816)	0.2519410743129975
  (0, 6116)	0.29723051848283955
  (0, 6522)	0.21696871232575266
  (0, 2342)	0.19339335125126603
  (0, 5169)	0.21696871232575266
  (0, 7862)	0.24353482591176567
  (0, 8157)	0.2367670793287155"
spam,"  (0, 61)	0.3156581955595825
  (0, 1784)	0.22471392162051818
  (0, 4952)	0.26137683508661236
  (0, 2086)	0.24025621296801325
  (0, 4398)	0.22166960394621574
  (0, 7801)	0.4946575203998783
  (0, 2872)	0.2749893950972862
  (0, 4991)	0.26756089957019313
  (0, 312)	0.24933023884356276
  (0, 4951)	0.3528496406892185
  (0, 3265)	0.3100366818353294"
ham,"  (0, 7538)	0.22658017054552526
  (0, 2288)	0.4447709353832491
  (0, 7877)	0.253596141963709
  (0, 7566)	0.277105853942158
  (0, 1099)	0.3698796065672682
  (0, 7117)	0.29086111847171453
  (0, 7290)	0.2886477672344195
  (0, 8005)	0.2185502740155651
  (0, 6864)	0.2745947905822955
  (0, 3789)	0.22474712167977856
  (0, 3474)	0.27797182714600316
  (0, 2651)	0.23252270866765834"
spam,"  (0, 4002)	0.22645355629931777
  (0, 3761)	0.25603525529766874
  (0, 6217)	0.15712729429867525
  (0, 7669)	0.28428322105405884
  (0, 363)	0.18854462486549245
  (0, 680)	0.28428322105405884
  (0, 2401)	0.14264312761778708
  (0, 351)	0.17833045052468688
  (0, 2223)	0.20237839014673076
  (0, 789)	0.2672528644318503
  (0, 2306)	0.28428322105405884
  (0, 5803)	0.221035356431422
  (0, 1)	0.2098177472972404
  (0, 397)	0.23539717844364397
  (0, 298)	0.1962999927687251
  (0, 1835)	0.1752372110018776
  (0, 1889)	0.28428322105405884
  (0, 6536)	0.14511380476397653
  (0, 1128)	0.20434006679840686
  (0, 7701)	0.15048175762191285
  (0, 8146)	0.17926963614651656"
spam,"  (0, 559)	0.2979917456099872
  (0, 5720)	0.2373734555666621
  (0, 4415)	0.2979917456099872
  (0, 5163)	0.22680978762190643
  (0, 2406)	0.2979917456099872
  (0, 8274)	0.17510198081191095
  (0, 737)	0.2979917456099872
  (0, 4121)	0.2979917456099872
  (0, 4839)	0.28014016196957425
  (0, 8202)	0.176876297468816
  (0, 7818)	0.18791426244607418
  (0, 1)	0.21993544517061167
